masa_A
t	x	y
5,739066667E0	-3,472957679E0	-3,885832641E1
5,755750000E0	-2,379844213E0	-3,849571682E1
5,772433333E0	-1,353617780E0	-3,809662933E1
5,789116667E0	-3,932058300E-1	-3,764574728E1
5,805800000E0	4,654464479E-1	-3,713471273E1
5,822483333E0	1,351432508E0	-3,656000554E1
5,839166667E0	2,146880601E0	-3,595800794E1
5,855850000E0	2,869880572E0	-3,532139349E1
5,872533333E0	3,510624658E0	-3,471239132E1
5,889216667E0	4,069792576E0	-3,409968495E1
5,905900000E0	4,600100133E0	-3,349899474E1
5,922583333E0	5,049718963E0	-3,290523584E1
5,939266667E0	5,426642771E0	-3,235505775E1
5,955950000E0	5,757869136E0	-3,184498905E1
5,972633333E0	6,043695727E0	-3,135804388E1
5,989316667E0	6,266396180E0	-3,095097909E1
6,006000000E0	6,464200324E0	-3,054009306E1
6,022683333E0	6,630923000E0	-3,021827174E1
6,039366667E0	6,750489599E0	-2,994826688E1
6,056050000E0	6,843163504E0	-2,976973814E1
6,072733333E0	6,890722355E0	-2,959651744E1
6,089416667E0	6,921901168E0	-2,952527595E1
6,106100000E0	6,947674543E0	-2,951764514E1
6,122783333E0	6,942236321E0	-2,956674391E1
6,139466667E0	6,871780314E0	-2,966803221E1
6,156150000E0	6,827218878E0	-2,984332345E1
6,172833333E0	6,725872701E0	-3,007674848E1
6,189516667E0	6,574181475E0	-3,036373654E1
6,206200000E0	6,394636707E0	-3,068901615E1
6,222883333E0	6,188034167E0	-3,107670227E1
6,239566667E0	5,944119341E0	-3,151460891E1
6,256250000E0	5,647415987E0	-3,201956027E1
6,272933333E0	5,311306847E0	-3,255277355E1
6,289616667E0	4,912190379E0	-3,312575759E1
6,306300000E0	4,430920995E0	-3,369795435E1
6,322983333E0	3,905146834E0	-3,432320657E1
6,339666667E0	3,306221703E0	-3,493949785E1
6,356350000E0	2,615043518E0	-3,555785236E1
6,373033333E0	1,873988302E0	-3,616594335E1
6,389716667E0	1,038843768E0	-3,674281599E1
6,406400000E0	1,921802336E-1	-3,728132213E1
6,423083333E0	-7,783871176E-1	-3,782457293E1
6,439766667E0	-1,784537764E0	-3,826384293E1
6,456450000E0	-2,838889994E0	-3,865023107E1
6,473133333E0	-3,946055832E0	-3,895131119E1
6,489816667E0	-5,086852804E0	-3,921502946E1
6,506500000E0	-6,241823087E0	-3,938336018E1
6,523183333E0	-7,453162544E0	-3,943841693E1
6,539866667E0	-8,612964855E0	-3,941438140E1
6,556550000E0	-9,795325938E0	-3,930323642E1
6,573233333E0	-1,093062106E1	-3,913379535E1
6,589916667E0	-1,203975279E1	-3,886446502E1
6,606600000E0	-1,308370992E1	-3,851511688E1
6,623283333E0	-1,408651831E1	-3,813753443E1
6,639966667E0	-1,499720859E1	-3,770572775E1
6,656650000E0	-1,586991858E1	-3,724112353E1
6,673333333E0	-1,665678969E1	-3,671901583E1
6,690016667E0	-1,744146842E1	-3,614102053E1
6,706700000E0	-1,817686618E1	-3,554177941E1
6,723383333E0	-1,880912408E1	-3,496851068E1
6,740066667E0	-1,937951225E1	-3,439989413E1
6,756750000E0	-1,985149217E1	-3,380512828E1
6,773433333E0	-2,029520014E1	-3,326241533E1
6,790116667E0	-2,067529837E1	-3,276938958E1
6,806800000E0	-2,101136029E1	-3,228271933E1
6,823483333E0	-2,128261921E1	-3,185815426E1
6,840166667E0	-2,152800710E1	-3,147132992E1
6,856850000E0	-2,167652172E1	-3,115674686E1
6,873533333E0	-2,184404951E1	-3,085354225E1
6,890216667E0	-2,194231607E1	-3,061650084E1
6,906900000E0	-2,203643873E1	-3,044984766E1
6,923583333E0	-2,209329820E1	-3,033164701E1
6,940266667E0	-2,206475516E1	-3,027138498E1
6,956950000E0	-2,206668932E1	-3,026710247E1
6,973633333E0	-2,204624090E1	-3,033547367E1
6,990316667E0	-2,197287257E1	-3,043824215E1
7,007000000E0	-2,189439446E1	-3,064259416E1
7,023683333E0	-2,176238354E1	-3,085771318E1
7,040366667E0	-2,159722752E1	-3,117073571E1
7,057050000E0	-2,138918302E1	-3,150662140E1
7,073733333E0	-2,114819124E1	-3,189170313E1
7,090416667E0	-2,086357491E1	-3,232488938E1
7,107100000E0	-2,051446814E1	-3,282184668E1
7,123783333E0	-2,013134954E1	-3,335896988E1
7,140466667E0	-1,968650244E1	-3,387311547E1
7,157150000E0	-1,917018847E1	-3,445279779E1
7,173833333E0	-1,859953328E1	-3,503646751E1
7,190516667E0	-1,797800967E1	-3,560475590E1
7,207200000E0	-1,727417690E1	-3,620021628E1
7,223883333E0	-1,649468729E1	-3,676849490E1
7,240566667E0	-1,564347570E1	-3,726754931E1
7,257250000E0	-1,469829964E1	-3,775447307E1
7,273933333E0	-1,377373869E1	-3,820862585E1
7,290616667E0	-1,275659676E1	-3,857607885E1
7,307300000E0	-1,169764104E1	-3,890457139E1
7,323983333E0	-1,057858971E1	-3,911082760E1
7,340666667E0	-9,478074376E0	-3,929617865E1
7,357350000E0	-8,326841714E0	-3,937853941E1
7,374033333E0	-7,172122441E0	-3,939618535E1
7,390716667E0	-6,063044480E0	-3,928898037E1
7,407400000E0	-4,959157294E0	-3,915029675E1
7,424083333E0	-3,879965317E0	-3,890349775E1
7,440766667E0	-2,842449189E0	-3,863227935E1
7,457450000E0	-1,848047814E0	-3,827492841E1
7,474133333E0	-9,745828762E-1	-3,788675254E1
7,490816667E0	-1,082179627E-1	-3,741527166E1
7,507500000E0	7,130750659E-1	-3,693930540E1
7,524183333E0	1,520774669E0	-3,639540362E1
